m_id,m_tag,m_name,m_province,m_street,comsuption_pp,flavor_rank,packaging_rank,number_comments,number_discount
1096261612256400,1,周记汕头牛肉店（牛肉粿条）,广东,深圳市龙岗区园山街道荷坳路57号综合市场B04,32,4.5,4.5,1102,3
1023212808498940,1,八合里牛肉火锅（天光城店）,广东,深圳市龙岗区龙城街道爱联社区龙岗大道1099号龙岗天光城2-L-003、004,31,4.5,4.6,328,2
1118062866235140,1,港湾火锅到家,广东,深圳市龙岗区龙城街道盛平社区盛丰路,67,4.8,4.9,222,4
1094938762285890,1,杨国福麻辣烫（昌盛百货店）,广东,深圳市龙岗区龙城街道爱联社区大道2001号浩天昌盛百货1楼B1商铺,26,4.6,4.7,7368,4
862525197024773,1,容川火·毛肚·肥肠煲(龙岗总店),广东,深圳市龙岗区龙城街道爱联社区锦苑路6号104,45,4.5,4.7,2564,5
