m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
230,5400,24.14245014,3.6301,0,-1,0
231,26200,39,3.6307,1,0.6154,0
232,2100,24.14245014,3.6295,1,-1,0
233,4800,20,3.6305,1,-0.1716,0
234,2800,19,3.6311,1,-0.213,0
235,5100,48,3.6294,1,0.9882,0
236,9900,24.14245014,3.6302,0,-1,0
237,7400,29,3.6311,1,0.2012,0
238,7000,20,3.6329,1,-0.1716,0
239,0,24.14245014,3.6311,1,-1,0
240,9900,24.14245014,3.6302,4,-1,0
241,7000,20,3.6329,1,-0.1716,0
242,6300,51,3.6311,1,1.1125,0
243,0,24.14245014,3.6311,1,-1,0
244,7300,24.14245014,3.6293,6,-1,0
245,5000,46,3.6303,1,0.9054,0
246,19300,25,3.6329,6,0.0355,0
247,11300,24.14245014,3.6372,2,-1,0
248,6200,20,3.6308,1,-0.1716,0
249,6800,36,3.6288,1,0.4911,0
250,5500,66,3.6303,0,1.7338,0
251,6900,24.14245014,3.6303,6,-1,0
252,8700,20,3.6329,2,-0.1716,0
253,4700,24,3.6304,1,-0.0059,0
254,8300,24,3.6337,2,-0.0059,0
255,3000,24.14245014,3.6301,6,-1,0
256,2900,24.14245014,3.6301,1,-1,0
257,3700,24.14245014,3.6302,1,-1,0
258,20400,105,3.6302,1,3.3492,0
259,2500,28,3.6305,6,0.1598,0
260,23700,181,3.6301,1,6.4972,0
261,24200,74,3.6303,1,2.0651,0
262,6100,29,3.632,0,0.2012,0
263,22800,59,3.6315,1,1.4438,0
264,15900,31,3.632,2,0.284,0
265,22700,19,3.6301,1,-0.213,0
266,6300,25,3.6328,1,0.0355,0
267,3800,28,3.6301,6,0.1598,0
268,22900,48,3.6303,1,0.9882,0
269,8400,24.14245014,3.6302,6,-1,0
270,7100,32,3.632,1,0.3255,0
271,12800,24,3.6337,6,-0.0059,0
272,3600,24.14245014,3.6302,2,-1,0
273,11400,40,3.631,2,0.6568,0
274,8400,39,3.6311,1,0.6154,0
275,5700,168,3.6303,1,5.9587,0
276,18000,35,3.631,0,0.4497,0
277,5900,24.14245014,3.6301,1,-1,0
278,13900,50,3.6305,1,1.071,0
279,6500,24.14245014,3.6302,6,-1,0
280,2500,24.14245014,3.6302,1,-1,0
281,12500,24,3.632,1,-0.0059,0
282,2900,27,3.6303,1,0.1184,0
283,6500,42,3.6304,6,0.7397,0
284,6900,55,3.6309,6,1.2781,0
285,12700,26,3.6311,6,0.0769,0
286,7200,22,3.6329,1,-0.0887,0
287,7200,24.14245014,3.6303,6,-1,0
288,19300,24.14245014,3.6302,6,-1,0
289,6500,24,3.6355,2,-0.0059,0
290,23700,33,3.6311,6,0.3669,0
291,8500,32,3.6297,1,0.3255,0
292,2800,24.14245014,3.6305,5,-1,0
293,3500,24.14245014,3.6301,1,-1,0
294,6300,24,3.6303,1,-0.0059,0
295,6700,40,3.6303,2,0.6568,0
296,2900,24.14245014,3.6302,0,-1,0
297,8600,25,3.6311,6,0.0355,0
298,21600,24,3.6306,6,-0.0059,0
299,23400,26,3.6329,6,0.0769,0
300,23400,26,3.6329,6,0.0769,0
301,3200,24.14245014,3.6301,1,-1,0
302,9600,75,3.6312,1,2.1066,0
303,10300,20,3.6311,1,-0.1716,0
304,25900,30,3.6308,6,0.2426,0
305,4800,53,3.6303,6,1.1953,0
306,8400,24.14245014,3.6301,6,-1,0
307,0,24.14245014,3.6473,6,-1,0
308,20800,28,3.631,6,0.1598,0
309,25100,26,3.6296,6,0.0769,0
310,5400,22,3.6311,3,-0.0887,0
311,15400,24.14245014,3.6302,6,-1,0
312,28900,29,3.6329,5,0.2012,0
313,3800,24.14245014,3.6302,1,-1,0
314,12200,24.14245014,3.6325,1,-1,0
315,6700,24.14245014,3.6303,1,-1,0
316,9300,23,3.6284,6,-0.0473,0
317,29600,23,3.632,6,-0.0473,0
318,14200,24.14245014,3.6303,1,-1,0
319,0,24.14245014,3.6381,5,-1,0
320,0,24.14245014,3.6381,5,-1,0
321,0,24.14245014,3.6311,6,-1,0
322,2400,24.14245014,3.6299,1,-1,0
323,22600,33,3.632,6,0.3669,0
324,19300,24.14245014,3.6303,6,-1,0
325,25400,28,3.6299,3,0.1598,0
326,1500,24.14245014,3.63,1,-1,0
327,6800,24.14245014,3.6302,5,-1,0
328,21600,38,3.6311,4,0.574,0
329,7000,24.14245014,3.632,3,-1,0
330,5100,24.14245014,3.6297,1,-1,0
331,29300,24,3.6311,6,-0.0059,0
