m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,3000.0,25.0,4.0925,6,0.0814
1,2400.0,22.0,4.0939,0,-0.0483
2,2400.0,21.0,4.0923,2,-0.0916
3,2300.0,35.0,4.094,2,0.514
4,8100.0,23.0,4.0925,6,-0.0051
5,2400.0,19.0,4.094,0,-0.1781
6,2300.0,31.0,4.0939,6,0.341
7,2300.0,23.0,4.0939,3,-0.0051
8,3600.0,36.0,4.0939,1,0.5573
9,3800.0,28.0,4.0939,6,0.2112
10,3700.0,23.11715481171548,4.0937,1,-1.0
11,2300.0,32.0,4.0939,3,0.3843
12,8400.0,19.0,4.093,6,-0.1781
13,2900.0,19.0,4.0939,1,-0.1781
14,2400.0,29.0,4.0939,5,0.2545
15,2500.0,21.0,4.0932,3,-0.0916
16,2600.0,39.0,4.0939,0,0.6871
17,2500.0,27.0,4.0941,1,0.168
18,2500.0,20.0,4.0921,0,-0.1348
19,2500.0,25.0,4.093,5,0.0814
20,2500.0,27.0,4.0941,1,0.168
21,4800.0,32.0,4.0939,1,0.3843
22,2400.0,21.0,4.0939,1,-0.0916
23,4600.0,19.0,4.093,0,-0.1781
24,3900.0,33.0,4.0939,6,0.4275
25,2500.0,24.0,4.0937,3,0.0382
26,2400.0,31.0,4.0939,2,0.341
27,2500.0,20.0,4.0939,0,-0.1348
28,7900.0,23.11715481171548,4.0919,3,-1.0
29,2600.0,21.0,4.0939,4,-0.0916
30,8400.0,19.0,4.093,6,-0.1781
31,7300.0,24.0,4.0923,1,0.0382
32,2400.0,23.0,4.0937,0,-0.0051
33,7100.0,18.0,4.0932,6,-0.2214
34,2500.0,25.0,4.0939,0,0.0814
35,7100.0,23.11715481171548,4.0921,5,-1.0
36,2500.0,28.0,4.0937,2,0.2112
37,4900.0,31.0,4.0939,3,0.341
38,2100.0,25.0,4.0937,1,0.0814
39,1800.0,46.0,4.0939,0,0.9899
40,2500.0,28.0,4.0937,2,0.2112
41,2100.0,25.0,4.0937,1,0.0814
42,1800.0,46.0,4.0939,0,0.9899
43,2900.0,25.0,4.0939,2,0.0814
44,2000.0,21.0,4.094,1,-0.0916
45,13600.0,20.0,4.0921,1,-0.1348
46,5100.0,32.0,4.0939,3,0.3843
47,9400.0,23.11715481171548,4.0919,1,-1.0
48,2700.0,24.0,4.0939,0,0.0382
49,1900.0,46.0,4.0937,0,0.9899
50,6400.0,29.0,4.094,4,0.2545
51,7700.0,26.0,4.0919,6,0.1247
52,7100.0,23.11715481171548,4.0925,6,-1.0
53,5700.0,23.11715481171548,4.0925,1,-1.0
54,2400.0,41.0,4.094,0,0.7736
55,2500.0,25.0,4.0919,0,0.0814
56,8900.0,23.0,4.0921,6,-0.0051
57,8000.0,35.0,4.094,1,0.514
58,3000.0,25.0,4.0939,1,0.0814
59,2800.0,28.0,4.0937,0,0.2112
60,2500.0,33.0,4.0934,1,0.4275
61,7700.0,35.0,4.0937,1,0.514
62,2600.0,40.0,4.0939,1,0.7303
63,5200.0,30.0,4.0937,3,0.2977
64,2200.0,39.0,4.0937,2,0.6871
65,5500.0,20.0,4.0919,1,-0.1348
66,3000.0,23.0,4.0937,1,-0.0051
67,4800.0,38.0,4.094,3,0.6438
68,2400.0,33.0,4.0937,2,0.4275
69,7900.0,23.11715481171548,4.0919,1,-1.0
70,1900.0,32.0,4.0937,2,0.3843
71,3300.0,72.0,4.094,2,2.1146
72,1700.0,23.11715481171548,4.0938,0,-1.0
73,3800.0,66.0,4.0941,2,1.855
74,6600.0,23.11715481171548,4.0942,2,-1.0
75,5200.0,22.0,4.094,1,-0.0483
76,2600.0,27.0,4.0939,1,0.168
77,2800.0,46.0,4.0937,0,0.9899
78,7600.0,34.0,4.0939,1,0.4708
79,3200.0,25.0,4.0939,2,0.0814
80,3500.0,25.0,4.0937,3,0.0814
81,5400.0,22.0,4.0939,3,-0.0483
82,7500.0,25.0,4.093,1,0.0814
83,2300.0,30.0,4.0937,0,0.2977
84,2000.0,23.11715481171548,4.0941,0,-1.0
85,0.0,23.11715481171548,4.094,4,-1.0
86,2200.0,43.0,4.0931,0,0.8601
87,13700.0,33.0,4.0934,1,0.4275
88,3900.0,24.0,4.0937,2,0.0382
