m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,2500.0,20.0,3.7274,6,0.0705
1,3000.0,17.0,3.7226,6,-0.0901
2,2600.0,18.683417085427134,3.7232,6,-1.0
3,2500.0,21.0,3.7226,6,0.124
4,2400.0,20.0,3.7206,6,0.0705
5,2400.0,19.0,3.7196,6,0.0169
6,3500.0,15.0,3.7178,6,-0.1971
7,2500.0,18.683417085427134,3.7196,6,-1.0
8,2400.0,22.0,3.7192,6,0.1775
9,2500.0,23.0,3.7206,6,0.231
10,2400.0,21.0,3.7196,6,0.124
11,1900.0,17.0,3.7196,2,-0.0901
12,3000.0,23.0,3.7192,6,0.231
13,2400.0,15.0,3.7206,4,-0.1971
14,2800.0,19.0,3.7173,4,0.0169
15,2300.0,17.0,3.7196,3,-0.0901
16,2100.0,25.0,3.716,2,0.3381
17,3000.0,19.0,3.7196,1,0.0169
18,2300.0,32.0,3.7195,3,0.7127
19,5600.0,24.0,3.7226,6,0.2846
20,2400.0,21.0,3.7265,3,0.124
21,6400.0,17.0,3.7196,6,-0.0901
22,3500.0,15.0,3.7178,1,-0.1971
23,5200.0,19.0,3.7216,5,0.0169
24,3400.0,18.0,3.718,4,-0.0366
25,2900.0,19.0,3.7196,2,0.0169
26,2600.0,26.0,3.7192,2,0.3916
27,4100.0,21.0,3.719,1,0.124
28,2300.0,16.0,3.7196,3,-0.1436
29,5600.0,24.0,3.7206,6,0.2846
30,5200.0,18.0,3.7216,4,-0.0366
31,6300.0,24.0,3.7187,6,0.2846
32,4800.0,17.0,3.7206,4,-0.0901
33,2300.0,24.0,3.7189,2,0.2846
34,3000.0,37.0,3.7236,3,0.9804
35,6400.0,21.0,3.7236,6,0.124
36,1600.0,36.0,3.7218,3,0.9268
37,2400.0,24.0,3.7196,3,0.2846
38,2500.0,20.0,3.7196,1,0.0705
39,2700.0,34.0,3.7204,1,0.8198
40,3600.0,19.0,3.7196,2,0.0169
41,2900.0,27.0,3.7175,3,0.4451
42,5400.0,21.0,3.7196,6,0.124
43,2500.0,28.0,3.7206,1,0.4987
44,5600.0,19.0,3.7206,6,0.0169
45,5900.0,21.0,3.7226,2,0.124
46,3600.0,36.0,3.7196,2,0.9268
47,3000.0,21.0,3.7195,5,0.124
48,2300.0,25.0,3.719,1,0.3381
49,5900.0,16.0,3.719,0,-0.1436
50,6200.0,16.0,3.7173,0,-0.1436
51,1700.0,16.0,3.7195,4,-0.1436
52,2500.0,20.0,3.7196,0,0.0705
53,8600.0,22.0,3.7274,6,0.1775
54,9000.0,24.0,3.7206,6,0.2846
55,3900.0,33.0,3.7196,2,0.7663
56,8700.0,18.0,3.7284,6,-0.0366
57,3700.0,17.0,3.7192,6,-0.0901
58,2300.0,23.0,3.7206,1,0.231
59,2000.0,25.0,3.7189,1,0.3381
60,3100.0,19.0,3.7206,0,0.0169
61,9000.0,24.0,3.7206,6,0.2846
62,2700.0,19.0,3.7216,0,0.0169
63,3900.0,33.0,3.7196,2,0.7663
64,8700.0,18.0,3.7284,6,-0.0366
65,3700.0,17.0,3.7192,6,-0.0901
66,4700.0,22.0,3.7236,0,0.1775
67,2400.0,22.0,3.7196,0,0.1775
68,2300.0,23.0,3.7206,1,0.231
69,2000.0,25.0,3.7189,1,0.3381
70,11600.0,22.0,3.7196,6,0.1775
71,5500.0,21.0,3.7192,1,0.124
72,2600.0,29.0,3.7174,0,0.5522
73,5500.0,19.0,3.7196,1,0.0169
74,4600.0,19.0,3.7236,0,0.0169
75,3100.0,18.683417085427134,3.7182,1,-1.0
76,7900.0,21.0,3.7226,2,0.124
77,6300.0,18.683417085427134,3.719,6,-1.0
78,2300.0,18.683417085427134,3.7182,1,-1.0
79,6900.0,18.683417085427134,3.7183,3,-1.0
80,3600.0,18.0,3.7189,6,-0.0366
81,5800.0,56.0,3.7206,2,1.9973
82,5000.0,20.0,3.7178,1,0.0705
