m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
0,3000.0,17.0,4.0799,6,-0.1198
1,2400.0,21.0,4.0797,6,0.0873
2,2500.0,20.0,4.0797,6,0.0355
3,2500.0,21.0,4.0799,6,0.0873
4,2600.0,19.314285714285713,4.0804,3,-1.0
5,2700.0,18.0,4.08,1,-0.068
6,5200.0,19.0,4.0799,6,-0.0163
7,4800.0,19.314285714285713,4.0797,6,-1.0
8,2400.0,19.0,4.08,3,-0.0163
9,2300.0,17.0,4.08,2,-0.1198
10,2800.0,19.0,4.0799,1,-0.0163
11,2400.0,19.314285714285713,4.0801,3,-1.0
12,7900.0,19.314285714285713,4.0797,6,-1.0
13,4700.0,20.0,4.0799,1,0.0355
14,9400.0,19.314285714285713,4.0797,6,-1.0
15,2400.0,16.0,4.08,1,-0.1716
16,2500.0,23.0,4.0799,6,0.1908
17,2300.0,24.0,4.08,1,0.2426
18,2300.0,19.0,4.0799,5,-0.0163
19,7100.0,19.314285714285713,4.0797,4,-1.0
20,2300.0,19.0,4.0799,5,-0.0163
21,7100.0,19.314285714285713,4.0797,4,-1.0
22,2400.0,20.0,4.0797,2,0.0355
23,2500.0,23.0,4.0799,3,0.1908
24,3000.0,23.0,4.0799,5,0.1908
25,7500.0,17.0,4.0799,6,-0.1198
26,2500.0,29.0,4.08,6,0.5015
27,2100.0,25.0,4.0796,6,0.2944
28,2700.0,26.0,4.08,1,0.3462
29,5600.0,27.0,4.0799,6,0.3979
30,1900.0,19.314285714285713,4.08,0,-1.0
31,2900.0,19.0,4.08,4,-0.0163
32,2500.0,21.0,4.08,1,0.0873
33,2600.0,26.0,4.08,6,0.3462
34,3000.0,20.0,4.0801,0,0.0355
35,6400.0,17.0,4.08,1,-0.1198
36,2400.0,22.0,4.08,0,0.1391
37,5200.0,18.0,4.0799,6,-0.068
38,2900.0,21.0,4.08,0,0.0873
39,2500.0,25.0,4.0798,1,0.2944
40,2300.0,27.0,4.08,2,0.3979
41,6400.0,21.0,4.0798,1,0.0873
42,2100.0,33.0,4.0799,3,0.7086
43,2400.0,19.0,4.08,0,-0.0163
44,5600.0,24.0,4.0799,1,0.2426
45,4600.0,19.0,4.0798,1,-0.0163
46,2500.0,20.0,4.08,1,0.0355
47,5900.0,20.0,4.0799,4,0.0355
48,4700.0,28.0,4.0798,2,0.4497
49,3500.0,15.0,4.0799,1,-0.2234
50,7100.0,19.314285714285713,4.0798,6,-1.0
51,4800.0,17.0,4.0799,6,-0.1198
52,1700.0,16.0,4.08,3,-0.1716
53,0.0,19.314285714285713,4.08,1,-1.0
54,3300.0,19.314285714285713,4.0799,1,-1.0
55,3300.0,20.0,4.08,1,0.0355
56,0.0,19.314285714285713,4.0802,1,-1.0
57,2500.0,20.0,4.08,0,0.0355
58,5300.0,21.0,4.08,6,0.0873
59,5300.0,23.0,4.0798,4,0.1908
60,3700.0,20.0,4.0799,2,0.0355
61,3100.0,18.0,4.08,0,-0.068
62,8600.0,20.0,4.08,6,0.0355
63,2300.0,19.0,4.08,0,-0.0163
64,2400.0,19.0,4.0798,0,-0.0163
65,2700.0,26.0,4.08,3,0.3462
66,2700.0,19.0,4.0799,0,-0.0163
67,2600.0,20.0,4.08,0,0.0355
68,2500.0,20.0,4.0799,0,0.0355
69,3200.0,21.0,4.08,1,0.0873
70,3300.0,20.0,4.08,2,0.0355
71,2400.0,21.0,4.0799,0,0.0873
72,3700.0,17.0,4.08,2,-0.1198
73,5000.0,18.0,4.08,1,-0.068
74,9500.0,19.0,4.0798,1,-0.0163
75,5300.0,29.0,4.0799,0,0.5015
76,6300.0,21.0,4.0798,2,0.0873
77,9100.0,19.0,4.0799,6,-0.0163
78,2400.0,22.0,4.08,1,0.1391
79,6500.0,22.0,4.0799,1,0.1391
80,8600.0,22.0,4.0797,1,0.1391
81,6200.0,24.0,4.0796,4,0.2426
82,3600.0,36.0,4.08,6,0.8639
83,13600.0,20.0,4.0797,1,0.0355
84,3200.0,19.314285714285713,4.08,2,-1.0
85,2500.0,23.0,4.0799,1,0.1908
86,2400.0,24.0,4.08,0,0.2426
87,2000.0,22.0,4.08,1,0.1391
88,0.0,19.314285714285713,4.0797,1,-1.0
89,2100.0,20.0,4.08,3,0.0355
90,2100.0,24.0,4.0818,6,0.2426
91,3000.0,14.0,4.08,6,-0.2751
92,2400.0,14.0,4.0798,1,-0.2751
93,2200.0,39.0,4.0799,1,1.0192
94,2100.0,15.0,4.0793,5,-0.2234
95,3600.0,42.0,4.08,1,1.1746
96,3700.0,19.314285714285713,4.08,6,-1.0
97,6200.0,50.0,4.08,1,1.5888
98,2200.0,14.0,4.08,2,-0.2751
99,7200.0,38.0,4.08,1,0.9675
100,10200.0,19.314285714285713,4.08,1,-1.0
101,2100.0,15.0,4.0793,5,-0.2234
102,3600.0,42.0,4.08,1,1.1746
103,3700.0,19.314285714285713,4.08,6,-1.0
104,6200.0,50.0,4.08,1,1.5888
105,2200.0,14.0,4.08,2,-0.2751
106,7200.0,38.0,4.08,1,0.9675
107,2800.0,22.0,4.0798,1,0.1391
108,5600.0,66.0,4.08,6,2.4172
109,2500.0,18.0,4.08,1,-0.068
110,2800.0,19.314285714285713,4.08,0,-1.0
111,7500.0,25.0,4.0798,1,0.2944
112,2900.0,41.0,4.08,1,1.1228
113,4800.0,38.0,4.08,1,0.9675
114,3200.0,25.0,4.0799,1,0.2944
115,2900.0,17.0,4.08,6,-0.1198
116,7600.0,39.0,4.08,1,1.0192
117,9000.0,24.0,4.0799,2,0.2426
118,7300.0,43.0,4.0797,6,1.2263
119,3400.0,31.0,4.08,1,0.605
120,1700.0,55.0,4.0797,1,1.8476
121,3900.0,33.0,4.08,1,0.7086
122,2100.0,53.0,4.08,1,1.7441
123,7600.0,25.0,4.08,4,0.2944
124,3000.0,29.0,4.08,1,0.5015
125,10300.0,33.0,4.08,1,0.7086
126,6300.0,24.0,4.08,3,0.2426
127,4800.0,26.0,4.0801,1,0.3462
128,12800.0,23.0,4.0797,1,0.1908
129,5800.0,56.0,4.0799,1,1.8994
130,9800.0,17.0,4.08,1,-0.1198
131,3600.0,19.314285714285713,4.08,3,-1.0
132,1800.0,26.0,4.0801,1,0.3462
133,2200.0,39.0,4.0799,2,1.0192
134,4700.0,22.0,4.0798,0,0.1391
135,6400.0,48.0,4.08,1,1.4852
136,6300.0,37.0,4.08,1,0.9157
137,27000.0,19.314285714285713,4.08,1,-1.0
138,2500.0,25.0,4.0799,0,0.2944
139,2300.0,19.314285714285713,4.08,4,-1.0
140,6100.0,45.0,4.08,1,1.3299
141,5900.0,21.0,4.08,1,0.0873
142,5600.0,19.0,4.0799,1,-0.0163
143,5900.0,19.314285714285713,4.08,6,-1.0
144,3400.0,19.314285714285713,4.0799,1,-1.0
145,11400.0,19.314285714285713,4.08,1,-1.0
146,11300.0,19.314285714285713,4.0797,1,-1.0
147,8100.0,20.0,4.0799,1,0.0355
148,4700.0,21.0,4.08,6,0.0873
149,3700.0,19.314285714285713,4.08,0,-1.0
150,2900.0,19.314285714285713,4.08,5,-1.0
151,2500.0,28.0,4.08,1,0.4497
152,8600.0,28.0,4.0799,1,0.4497
153,2200.0,63.0,4.08,1,2.2618
154,2700.0,25.0,4.08,2,0.2944
155,2900.0,19.314285714285713,4.0799,2,-1.0
156,7500.0,38.0,4.08,1,0.9675
157,12700.0,21.0,4.08,6,0.0873
158,6500.0,48.0,4.08,1,1.4852
159,7300.0,19.314285714285713,4.0799,1,-1.0
160,1500.0,23.0,4.0799,1,0.1908
