m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
147,9900,13,4.083,6,-0.1978,0
148,12300,22,4.0821,3,0.3576,0
149,11700,14,4.0828,1,-0.1361,0
150,11600,9,4.0826,1,-0.4446,0
151,7400,28,4.0826,2,0.7279,0
152,8800,16.205,4.0851,2,-1,0
153,9800,17,4.0851,3,0.0491,0
154,5800,15,4.0829,6,-0.0744,0
155,8600,16,4.0821,3,-0.0127,0
156,9200,16,4.0823,6,-0.0127,0
157,5700,21,4.0832,6,0.2959,0
158,10300,16.205,4.0829,2,-1,0
159,10000,15,4.0829,6,-0.0744,0
160,12200,20,4.0815,1,0.2342,0
161,9900,14,4.0845,6,-0.1361,0
162,10200,14,4.0828,6,-0.1361,0
163,0,16.205,4.0777,1,-1,0
164,8200,23,4.083,6,0.4193,0
165,12200,17,4.0828,1,0.0491,0
166,5800,33,4.0802,3,1.0364,0
167,3500,14,4.083,5,-0.1361,0
168,7000,37,4.083,1,1.2832,0
169,6700,28,4.0828,1,0.7279,0
170,1700,35,4.0828,1,1.1598,0
171,1700,11,4.083,6,-0.3212,0
172,9300,20,4.083,3,0.2342,0
173,5300,15,4.0828,1,-0.0744,0
174,5500,16.205,4.0821,1,-1,0
175,7600,12,4.0826,6,-0.2595,0
176,0,16.205,4.0815,1,-1,0
177,7400,158,4.083,1,8.7501,0
178,0,16.205,4.0829,1,-1,0
179,9400,16.205,4.0826,2,-1,0
180,7100,16.205,4.0827,6,-1,0
181,5100,22,4.0828,1,0.3576,0
182,5600,24,4.0802,1,0.481,0
183,10200,16.205,4.0811,1,-1,0
184,6500,34,4.083,2,1.0981,0
185,6000,13,4.0829,1,-0.1978,0
186,0,16.205,4.0812,1,-1,0
187,6800,19,4.083,6,0.1725,0
188,0,16.205,4.0829,1,-1,0
189,7000,16.205,4.0834,1,-1,0
190,0,16.205,4.0826,2,-1,0
191,7600,36,4.0828,1,1.2215,0
192,0,16.205,4.0829,1,-1,0
193,9100,27,4.0826,1,0.6662,0
194,5200,20,4.0829,6,0.2342,0
195,6100,43,4.0826,1,1.6535,0
196,0,16.205,4.0845,2,-1,0
197,10500,16.205,4.0828,1,-1,0
198,9100,19,4.0851,6,0.1725,0
199,12700,135,4.083,0,7.3308,0
