m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation,num_his
177,2700,25,3.7921,1,0.0549,0
178,8500,49,3.7927,1,1.0675,0
179,6200,20,3.7925,1,-0.1561,0
180,8900,37,3.7927,3,0.5612,0
181,8600,20,3.7927,1,-0.1561,0
182,6200,28,3.7925,1,0.1814,0
183,6900,47,3.7922,1,0.9831,0
184,8800,23.7,3.7922,6,-1,0
185,5700,30,3.7922,1,0.2658,0
186,7200,40,3.7923,1,0.6878,0
187,5800,23.7,3.7947,1,-1,0
188,6400,69,3.7923,1,1.9114,0
189,6300,25,3.7951,1,0.0549,0
190,4600,23.7,3.7922,1,-1,0
191,7000,28,3.7925,0,0.1814,0
192,5900,45,3.7927,1,0.8987,0
193,5000,23.7,3.7922,1,-1,0
194,6600,32,3.7927,2,0.3502,0
195,5800,56,3.7934,1,1.3629,0
196,2300,37,3.794,4,0.5612,0
197,2100,23.7,3.7921,0,-1,0
198,6700,21,3.7934,1,-0.1139,0
199,12900,26,3.7934,1,0.097,0
200,3900,38,3.7927,6,0.6034,0
201,0,23.7,3.794,1,-1,0
202,5000,46,3.7921,1,0.9409,0
203,8700,35,3.7927,1,0.4768,0
204,4700,25,3.7927,1,0.0549,0
205,6200,50,3.7925,1,1.1097,0
206,1300,24,3.7927,0,0.0127,0
207,5600,51,3.7927,6,1.1519,0
208,2300,23.7,3.792,6,-1,0
209,3300,23.7,3.7921,6,-1,0
210,3400,23.7,3.7921,1,-1,0
211,9700,26,3.7925,6,0.097,0
212,9700,20,3.7924,4,-0.1561,0
213,2900,41,3.7927,1,0.73,0
214,12700,38,3.7916,1,0.6034,0
215,1800,32,3.7918,0,0.3502,0
216,3400,23.7,3.7918,2,-1,0
217,9100,26,3.7896,5,0.097,0
218,5500,23,3.7934,6,-0.0295,0
219,13500,24,3.7927,6,0.0127,0
220,6700,43,3.7934,1,0.8143,0
221,10100,23.7,3.7922,1,-1,0
222,6800,23.7,3.7909,1,-1,0
223,6900,23.7,3.7915,1,-1,0
224,11400,40,3.7927,4,0.6878,0
225,11400,23.7,3.7923,1,-1,0
226,11400,36,3.7922,1,0.519,0
227,12600,23.7,3.7923,3,-1,0
228,3600,23.7,3.7923,1,-1,0
229,8500,48,3.7926,1,1.0253,0
230,5900,23.7,3.7922,1,-1,0
231,5900,23.7,3.7922,2,-1,0
232,5800,38,3.7925,1,0.6034,0
233,5800,58,3.7925,2,1.4473,0
234,6800,29,3.7926,2,0.2236,0
235,2800,31,3.7927,2,0.308,0
236,3300,23.7,3.7921,1,-1,0
237,6500,40,3.7922,1,0.6878,0
238,5300,51,3.7921,1,1.1519,0
239,6000,26,3.7918,1,0.097,0
