m_id,distance,consumption_pp,bayesranking,number_discounts ,consumption_pp_deviation
186,5200,18.0,4.4888,2,-0.2531
187,6800,19.0,4.4888,1,-0.2116
188,4800,47.0,4.4919,1,0.9502
189,6000,23.0,4.4902,1,-0.0456
190,6700,24.1,4.493,1,-1.0
191,5900,20.0,4.4902,1,-0.1701
192,6300,23.0,4.4929,3,-0.0456
193,5800,33.0,4.4916,0,0.3693
194,6500,34.0,4.4929,6,0.4108
195,11300,19.0,4.4916,6,-0.2116
196,8400,39.0,4.4916,1,0.6183
197,3100,42.0,4.4923,1,0.7427
198,3200,21.0,4.492,1,-0.1286
199,6900,35.0,4.4902,1,0.4523
